1,6.743655
2,4.316038
3,2.905327
4,2.119251
5,1.710952
6,1.443233
7,1.305531
8,1.234815
9,1.203765
10,1.150580
11,1.107812
12,1.103180
13,1.079900
14,1.067733
15,1.034610
16,1.037602
17,1.032863
18,1.020107
19,1.019111
20,0.997507
21,0.989190
22,0.977031
23,0.971457
24,0.979862
25,0.977439
26,0.965569
27,0.957837
28,0.954958
29,0.957618
30,0.953393
31,0.950780
32,0.950040
33,0.939316
34,0.945131
35,0.934094
36,0.932039
37,0.936886
38,0.922583
39,0.928823
40,0.928957
41,0.923898
42,0.910569
43,0.923129
44,0.908178
45,0.916239
46,0.913492
47,0.918471
48,0.915102
49,0.909511
50,0.912158
51,0.910282
52,0.908141
53,0.905811
54,0.908052
55,0.907135
56,0.904464
57,0.900220
58,0.901022
59,0.897278
60,0.897360
61,0.890190
62,0.890886
63,0.894145
64,0.892843
65,0.886330
66,0.893774
67,0.889874
68,0.888283
69,0.884798
70,0.886201
71,0.882011
72,0.880205
73,0.884805
74,0.878739
75,0.878909
76,0.881013
77,0.882456
78,0.877665
79,0.878361
80,0.877810
81,0.876024
82,0.876477
83,0.877691
84,0.873447
85,0.880907
86,0.874753
87,0.874079
88,0.873209
89,0.875817
90,0.870614
91,0.870864
92,0.872388
93,0.861639
94,0.861708
95,0.866590
96,0.865011
97,0.867406
98,0.869271
99,0.867691
100,0.859081
